City,Murder,Arson,Violent crime,Motor vehicle theft,State,Property crime,Aggravated assault,Robbery,Year,Burglary,Larceny-theft,ID,Rape,Population
SAN JOSE,25,55,1919,3259,CALIFORNIA,11463,1091,583,2016,2052,6152,1,220,1041844
HIALEAH,5,17,336,302,FLORIDA,2812,231,82,2016,255,2255,38,18,239451
SANTA MARIA,6,3,269,323,CALIFORNIA,1371,146,97,2016,233,815,1,20,106200
SALEM,4,13,251,297,OREGON,3242,165,61,2016,406,2539,19,21,166508
NEW YORK,162,,23546,2948,NEW YORK,59928,14834,7366,2016,5809,51171,18,1184,8566917
AKRON,20,47,628,306,OHIO,4100,286,198,2016,1145,2649,5,124,197257
SURPRISE,3,2,65,76,ARIZONA,1146,33,23,2016,162,908,13,6,130679
OKLAHOMA CITY,30,47,2462,1406,OKLAHOMA,12436,1658,547,2016,2649,8381,23,227,641681
LAKELAND,1,1,168,176,FLORIDA,2585,76,55,2016,321,2088,38,36,105766
TORRANCE,0,3,116,187,CALIFORNIA,1568,46,58,2016,208,1173,1,12,149078
CHULA VISTA,0,17,313,402,CALIFORNIA,2125,198,90,2016,332,1391,1,25,270175
